[2016-05-16 13:32:46,597] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,609] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,703] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.min.js
[2016-05-16 13:32:46,896] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,898] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,959] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/css/style-8.3.css
[2016-05-16 13:32:46,963] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,966] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:47,008] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.css
[2016-05-16 13:33:47,035] [INFO] [QOSBaoMoi.java:139] Submit stats at 1463380364, Mozilla/5.0
[2016-05-16 13:33:47,039] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:33:47,042] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:33:47,215] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:33:47,227] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:33:47,293] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
